상위 모듈,하위 모듈,Method,URL,용도,필요 데이터(쿼리),상태
예시 모듈,예시 모듈,POST,https://localhost/api/v1/example,예시,"user_id: 정수형, level: 정수형, context: 문자열",진행 중
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/auth/login,로그인,,대기
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/auth/refresh,토큰 갱신,,대기
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/auth/logout,로그아웃/토큰 블랙리스트,,대기
공통(인증/유저/헬스),-,GET,https://localhost/api/v1/health,헬스 체크,,대기
공통(인증/유저/헬스),-,GET,https://localhost/api/v1/me,내 프로필 조회,,대기
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/me,내 프로필 수정,,대기
공통(인증/유저/헬스),-,GET,https://localhost/api/v1/config,"앱/에이전트 공통 설정 로드(버전, 플래그 등)",,대기
Desktop_Backend,Projects/Jobs,GET,https://localhost/api/v1/projects,프로젝트 목록 조회(코드 생성 대상 선택),,대기
Desktop_Backend,Projects/Jobs,POST,https://localhost/api/v1/projects/{project_id}/jobs,프로젝트에 대한 작업(Job) 생성(코드 생성 요청),,대기
Desktop_Backend,Projects/Jobs,GET,https://localhost/api/v1/projects/{project_id}/jobs/{job_id},작업(Job) 상세/진행 상태 조회(요약 코드 확인),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/request,에이전트가 할당 가능한 작업 요청(작업 풀링),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/{job_id}/start,작업 시작 알림(락 획득),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/{job_id}/progress,진행 로그/중간 산출물 업로드,,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/{job_id}/complete,"작업 완료 보고(결과물, 요약)",,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/callbacks/tool,도구 호출/결과 콜백(트레이스),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/telemetry,토큰 사용량/지연시간/에러 메트릭 전송,,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/heartbeat,에이전트 하트비트(상태/버전 보고),,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/projects/register,프로젝트 등록(로컬 경로/리모트 URL 메타),,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/{project_id}/scan,"파일/폴더 트리, 언어/LOC, 복잡도 지표 업로드",,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/{project_id}/issues,"정적 분석 결과(린트/보안, 규칙) 업로드",,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/{project_id}/readme,생성/갱신된 README 초안 업로드,,대기
Desktop_Backend,Git Commit Module (커밋/패치/아티팩트),POST,https://localhost/api/v1/git/{project_id}/commits,커밋 메타데이터/메시지 보고,,대기
Desktop_Backend,Git Commit Module (커밋/패치/아티팩트),POST,https://localhost/api/v1/git/{project_id}/commits/{commit_id}/diff,패치/디프 업로드,,대기
Desktop_Backend,Git Commit Module (커밋/패치/아티팩트),POST,https://localhost/api/v1/git/{project_id}/artifacts,빌드 산출물(압축/로그) 업로드(멀티파트),,대기
FastAPI_Server(LLM 에이전트),-,POST,https://localhost/api/v1/llm/traces,프롬프트/응답/툴유즈 트레이스(민감정보 마스킹 후),,대기
FastAPI_Server(LLM 에이전트),-,POST,https://localhost/api/v1/llm/feedback,휴먼 피드백(RLH(F)용 태깅),,대기
FastAPI_Server(LLM 에이전트),-,POST,https://localhost/api/v1/llm/cost,모델별/요청별 비용 집계,,대기
FastAPI_Server(LLM 에이전트),-,GET,https://localhost/api/v1/policies/redteam,금칙어/가드레일 정책 로드,,대기
FastAPI_Server(LLM 에이전트),-,POST,https://localhost/api/v1/events/broadcast,에이전트 → Django 이벤트(알림 트리거),,대기
Desktop_Frontend(데스크톱 GUI),-,POST,https://localhost/api/v1/device/login,디바이스/앱 로그인(디바이스 코드 흐름),,대기
Desktop_Frontend(데스크톱 GUI),-,GET,https://localhost/api/v1/device/updates,앱 업데이트/공지사항/릴리즈 노트,,대기
Desktop_Frontend(데스크톱 GUI),-,GET,https://localhost/api/v1/tasks/assigned,사용자에게 배정된 태스크(퀴즈/미션/튜토리얼),,대기
Desktop_Frontend(데스크톱 GUI),-,POST,https://localhost/api/v1/uploads,"파일 업로드(문서/데이터셋, 멀티파트)",,대기
Desktop_Frontend(데스크톱 GUI),-,POST,https://localhost/api/v1/activity/logs,UI 사용 로그/클릭스트림 전송(비식별),,대기
Mobile App,-,POST,https://localhost/api/v1/auth/mobile/login,모바일 로그인(소셜/OIDC 포함),,대기
Mobile App,-,GET,https://localhost/api/v1/mobile/feed,개인화 피드(미션/퀴즈/배지 업데이트),,대기
Mobile App,-,POST,https://localhost/api/v1/mobile/feedback,앱 내 피드백/버그 리포트,,대기
Mobile App,-,GET,https://localhost/api/v1/notifications,푸시 알림 페치(토큰 등록은 /notifications/token),,대기
Mobile App,-,POST,https://localhost/api/v1/notifications/token,FCM/APNS 토큰 등록/갱신,,대기
Quiz Engine(Module),-,GET,https://localhost/api/v1/quiz/pools,퀴즈 풀 목록/태그/난이도,,대기
Quiz Engine(Module),-,POST,https://localhost/api/v1/quiz/sessions,퀴즈 세션 시작(세트 생성),,대기
Quiz Engine(Module),-,GET,https://localhost/api/v1/quiz/sessions/{session_id},세션 상태/진행,,대기
Quiz Engine(Module),-,POST,https://localhost/api/v1/quiz/sessions/{session_id}/answers,사용자의 답안 제출,,대기
Quiz Engine(Module),-,POST,https://localhost/api/v1/quiz/sessions/{session_id}/finish,세션 종료/채점/해설 반환,,대기
Quiz Engine(Module),-,GET,https://localhost/api/v1/quiz/history,퀴즈 이력/정오답 통계,,대기
Quiz Engine(Module),-,GET,https://localhost/api/v1/quiz/recommendations,성취도 기반 추천 문제 세트,,대기
Gamification Engine(Module),-,GET,https://localhost/api/v1/gami/profile,유저 포인트/레벨/XP,,대기
Gamification Engine(Module),-,POST,https://localhost/api/v1/gami/events,"이벤트 수집(퀴즈완료, 커밋완료, 첫 빌드 등)",,대기
Gamification Engine(Module),-,GET,https://localhost/api/v1/gami/badges,보유/획득가능 배지 목록,,대기
Gamification Engine(Module),-,POST,https://localhost/api/v1/gami/redeem,리워드 교환(쿠폰/역할),,대기
Gamification Engine(Module),-,GET,https://localhost/api/v1/gami/leaderboard,리더보드(기간/필터 지원),,대기
파일/데이터/문서,-,POST,https://localhost/api/v1/files,"일반 파일 업로드(멀티파트, presigned URL 옵션)",,대기
파일/데이터/문서,-,GET,https://localhost/api/v1/files/{file_id},다운로드/메타 조회,,대기
파일/데이터/문서,-,POST,https://localhost/api/v1/datasets,데이터셋 등록(스키마/라인카운트/샘플),,대기
파일/데이터/문서,-,GET,https://localhost/api/v1/datasets/{dataset_id},데이터셋 메타/버전,,대기
알림/웹훅/실시간,-,POST,https://localhost/api/v1/webhooks/agent,외부 에이전트 일반 웹훅 엔드포인트,,대기
알림/웹훅/실시간,-,POST,https://localhost/api/v1/webhooks/git,Git 서버/CI 파이프라인 웹훅 수신,,대기
